time,light,temp
1521494117041,83,78.12
1521494118788,83,78.01
1521494120430,83,78.01
1521494122072,83,78.01
1521494123715,83,78.01
1521494125356,83,77.90
1521494126998,82,77.90
1521494128641,82,77.90
1521494130282,82,77.90
1521494131925,82,77.79
1521494133566,82,77.79
1521494135209,82,77.79
1521494136851,81,77.79
1521494138494,81,77.79
1521494140136,82,77.68
1521494141777,81,77.68
1521494143419,81,77.68
1521494145061,81,77.68
1521494146704,81,77.68
1521494148345,81,77.68
1521494149987,80,77.56
1521494151630,80,77.56
1521494153272,80,77.56
1521494154914,80,77.56
1521494156556,80,77.56
1521494158198,80,77.56
1521494159840,80,77.56
1521494161482,80,77.56
1521494163124,81,77.56
1521494164765,81,77.56
1521494166409,81,77.56
1521494168050,81,77.45
1521494169692,81,77.45
1521494171335,82,77.45
1521494172977,82,77.45
1521494174619,82,77.45
1521494176261,82,77.45
1521494177903,82,77.45
1521494179545,82,77.45
1521494181186,82,77.34
1521494182830,82,77.34
1521494184471,79,77.34
1521494186113,79,77.34
1521494187756,79,77.34
1521494189398,79,77.34
1521494191040,80,77.34
1521494192682,80,77.34
1521494472249,89,77.00
1521494473998,92,77.00
1521494475640,84,77.00
1521494477283,91,77.00
1521494478925,92,77.00
1521494480567,43,77.00
1521494482209,42,77.00
1521494483852,41,77.00
1521494485494,78,77.00
1521494487136,90,77.56
1521494488778,91,81.16
1521494490419,91,83.30
1521494492061,91,84.43
1521494493702,91,85.21
1521494495343,91,85.66
1521494496985,91,86.11
1521494498625,91,86.34
1521494500268,90,85.89
1521494501908,44,84.65
1521494503551,49,83.86
1521494505192,47,83.19
1521494506833,47,82.62
1521494508475,47,82.29
1521494510116,48,81.95
1521494511758,47,81.61
1521494513399,47,81.39
1521494515042,47,81.16
1521494516683,45,81.05
1521494518325,46,80.94
1521494519966,46,80.82
1521494521609,46,80.71
1521494523251,46,80.60
1521494524892,44,80.49
1521494526534,45,80.49
1521494528176,91,80.37
1521494529817,91,80.15
1521494531460,91,80.04
1521494533102,90,80.04
1521494534743,84,79.93
1521494536385,86,79.81
1521494538026,86,79.81
1521494539668,61,79.70
1521494541311,61,79.70
1521494542953,59,79.59
1521494544595,59,79.59
1521494546236,60,79.47
1521494547878,87,79.47
1521494549520,87,79.47
1521494551163,87,79.36
1521494552804,86,79.36
1521494554446,89,79.36
1521494556088,90,79.25
1521494557730,90,79.25
1521494559371,90,79.14
1521494561014,90,79.14
1521494562656,90,79.14
1521494564298,90,79.14
1521494565939,90,79.14
1521494567581,90,79.14
1521494569224,90,79.02
1521494570866,90,79.02
1521494572507,90,79.02
1521494574149,90,79.02
1521494575791,90,78.91
1521494577434,90,78.91
1521494579075,90,78.91
1521494580717,90,78.80
1521494582359,90,78.80
1521494584000,90,78.80
1521494585643,90,78.80
1521494587285,89,78.80
1521494588927,90,78.69
1521494590568,90,78.69
1521494592211,89,78.69
1521494593853,89,78.57
1521494595495,89,78.57
1521494597138,89,78.57
1521494598779,89,78.57
1521494600421,89,78.57
1521494602063,89,78.46
1521494603706,89,78.46
1521494605347,89,78.46
1521494606989,89,78.46
1521494608631,89,78.46
1521494610274,89,78.46
1521494611915,89,78.46
1521494613557,89,78.35
1521494615199,89,78.35
1521494616842,89,78.35
1521494618483,89,78.35
1521494620125,89,78.35
1521494621768,89,78.35
1521494623409,89,78.24
1521494625051,70,78.24
1521494626693,89,78.24
1521494628336,89,78.24
1521494629977,89,78.12
1521494631619,89,78.12
1521494633261,89,78.12
1521494634904,89,78.12
1521494636545,89,78.12
1521494638187,89,78.01
1521494639830,89,78.01
1521494641472,89,78.01
1521494643113,89,78.01
1521494644756,89,78.01
1521494646398,89,78.01
1521494648040,89,78.01
1521494649682,89,77.90
1521494651324,89,77.90
1521494652965,89,77.90
1521494654608,89,77.90
1521494656250,89,77.90
1521494657892,89,77.90
1521494659535,89,77.90
1521494661176,89,77.90
1521494662819,89,77.90
1521494664460,89,77.79
1521494666102,89,77.79
1521494667745,89,77.79
1521494669387,89,77.79
1521494671029,89,77.79
1521494672676,89,77.79
1521494674313,89,77.79
1521494675954,89,77.79
1521494677598,89,77.79
1521494679239,89,77.68
1521494680881,89,77.68
1521494682523,89,77.68
1521494684166,89,77.68
1521494685808,89,77.79
1521494687450,89,77.68
1521494689093,89,77.68
1521494690734,89,77.68
1521494692376,89,77.68
1521494694018,89,77.68
1521494695660,89,77.68
1521494697303,87,77.68
1521494698945,87,77.68
1521494700587,80,77.68
1521494702229,74,77.68
1521494703871,74,77.79
1521494705512,75,77.90
1521494707156,76,78.01
1521494708797,89,78.01
